Indicator Type,Indicators,Note
File Hash (SHA256),38fa396770e0ecf60fe1ce089422283e2dc8599489bd18d5eb033255dd8e370c,Malicious HackTools and Payloads SHA256
File Hash (SHA256),4a26ec5fd16ee13d869d6b0b6177e570444f6a007759ea94f1aa18fa831290a8,Malicious HackTools and Payloads SHA256
File Hash (SHA256),b2b2e900aa2e96ff44610032063012aa0435a47a5b416c384bd6e4e58a048ac9,Malicious HackTools and Payloads SHA256
File Hash (SHA256),475c7e88a6d73e619ec585a7c9e6e57d2efc8298b688ebc10a3c703322f1a4a7,Malicious HackTools and Payloads SHA256
File Hash (SHA256),9f5f3a9ce156213445d08d1a9ea99356d2136924dc28a8ceca6d528f9dbd718b,Malicious HackTools and Payloads SHA256
File Hash (SHA256),c9d5dc956841e000bfd8762e2f0b48b66c79b79500e894b4efa7fb9ba17e4e9e,Malicious HackTools and Payloads SHA256
File Hash (SHA256),a6cad2d0f8dc05246846d2a9618fc93b7d97681331d5826f8353e7c3a3206e86,Malicious HackTools and Payloads SHA256
File Hash (SHA256),e781ce2d795c5dd6b0a5b849a414f5bd05bb99785f2ebf36edb70399205817ee,Malicious HackTools and Payloads SHA256
File Hash (SHA256),06510504f30feb1adc7e423d5a24e67e5b97acbfafe40f253a054be8b1c4e8d7,Malicious HackTools and Payloads SHA256
File Hash (SHA256),b279a41359367408c627ffa8d80051ed0f04c76fbf6aed79b3b2963203e08ade,Malicious HackTools and Payloads SHA256
File Hash (SHA256),04f48ed27a83a57a971e73072ac5c769709306f2714022770fb364fd575fd462,Malicious HackTools and Payloads SHA256
File Hash (SHA256),2dde8881cd9b43633d69dfa60f23713d7375913845ac3fe9b4d8a618660c4528,Malicious HackTools and Payloads SHA256
IP Address,185.12.45.134,HyperBro C3
URL,https://185.12.45.134:443/ajax,HyperBro C2
